condition,outcome,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
High public trust,funding_perceptions,8,8,0,1.821875,0.9375,1.618831010107514,0.5374424999999999,0.5,5,4.5,100,0.016188310101075142,0.0053744249999999995,0.045
Interview Prof. Maraun,funding_perceptions,8,8,0,1.8968749999999999,1.4625,1.492626968755805,1.223145,0.5,5,4.5,100,0.01492626968755805,0.01223145,0.045
Interview Prof. Sebille,behavior_mean,8,8,0,1.85625,1.15,1.6510683770559855,0.6671699999999999,0.5,5,4.5,100,0.016510683770559854,0.006671699999999999,0.045
Measurement & modeling (2),funding_perceptions,8,8,0,1.69375,1.15,1.4962900549597422,0.8524949999999999,0.5,5,4.5,100,0.014962900549597423,0.008524949999999998,0.045
Model accuracy,behavior_mean,8,8,0,1.65,0.85,1.7110982271211501,0.2965199999999999,0.5,5,4.5,100,0.0171109822712115,0.002965199999999999,0.045
Model accuracy,policy_specific_mean,8,8,0,1.65,0.925,1.6106786502234747,0.40771499999999994,0.5,5,4.5,100,0.016106786502234748,0.004077149999999999,0.045
Peer-review,distrust_post,8,8,0,-2.134375,-1.7,1.465735889042965,0.8154299999999999,-5,-0.5,4.5,100,0.01465735889042965,0.008154299999999998,0.045
Peer-review,donation_ams,8,8,0,0.16875,0.1125,0.15509789535276466,0.0630105,0.05,0.5,0.45,10,0.015509789535276467,0.00630105,0.045
Portrait Prof. Cherry,distrust_post,8,8,0,-1.925,-1.6625,1.4479665544677276,1.11195,-5,-0.5,4.5,100,0.014479665544677276,0.0111195,0.045
Scientist community helpers,behavior_mean,8,8,0,1.725,1,1.6716117115782942,0.44477999999999995,0.5,5,4.5,100,0.01671611711578294,0.004447799999999999,0.045
Scientist community helpers,funding_perceptions,8,8,0,1.9437499999999999,1.425,1.4556386668989763,1.11195,0.5,5,4.5,100,0.014556386668989762,0.0111195,0.045
Model accuracy,funding_perceptions,8,8,0,1.9625,1.375,1.4093438189455403,0.7413,0.55,5,4.45,100,0.014093438189455403,0.0074129999999999995,0.044500000000000005
Measurement & modeling (1),distrust_post,8,8,0,-2.240625,-1.725,1.5559756642882119,1.1675475,-5,-0.6,4.4,100,0.015559756642882118,0.011675475,0.044000000000000004
Measurement & modeling (1),funding_perceptions,8,8,0,2.01875,1.675,1.3330784726660747,0.66717,0.6,5,4.4,100,0.013330784726660747,0.0066717,0.044000000000000004
Model accuracy,distrust_post,8,8,0,-2.3,-1.8,1.450369411071341,1.0007549999999998,-5,-0.6,4.4,100,0.01450369411071341,0.010007549999999999,0.044000000000000004
Corporate reliance,donation_ams,8,8,0,0.1725,0.14250000000000002,0.1409153748075165,0.066717,0.06,0.5,0.44,10,0.014091537480751651,0.0066717,0.044
Former skeptics,funding_perceptions,8,8,0,2.2375,1.375,1.7777895584927126,0.7783649999999999,0.7,5.1,4.3999999999999995,100,0.017777895584927126,0.007783649999999999,0.044
Model accuracy,trust_multidimensional,8,8,0,2.91875,2.325,1.69240688707786,1.593795,0.95,5.300000000000001,4.3500000000000005,100,0.0169240688707786,0.01593795,0.043500000000000004
Consensus,funding_perceptions,8,8,0,2.15625,1.75,1.3623607399342825,0.852495,0.65,5,4.35,100,0.013623607399342826,0.00852495,0.0435
Consensus,trust_multidimensional,8,8,0,3.21875,2.5,1.577506508929293,1.000755,1.65,6,4.35,100,0.01577506508929293,0.01000755,0.0435
Measurement & modeling (1),inst_trust_mean,8,8,0,1.840625,1.375,1.4695685409087156,0.6857024999999999,0.65,5,4.35,100,0.014695685409087157,0.006857024999999999,0.0435
Consensus,donation_ams,8,8,0,0.20625,0.19,0.13201055152632957,0.07413,0.07,0.5,0.43,10,0.013201055152632956,0.007413,0.043
Measurement & modeling (2),distrust_post,8,8,0,-1.80625,-1.325,1.3975584577602265,0.4077149999999998,-5,-0.7,4.3,100,0.013975584577602264,0.004077149999999998,0.043
Interview Prof. Maraun,distrust_post,8,8,0,-2.365625,-1.7625000000000002,1.6159328077880324,1.4270025000000002,-5,-0.75,4.25,100,0.016159328077880324,0.014270025000000002,0.0425
Model accuracy,trust_post,8,8,0,2.58125,2.15,1.3809772678381473,0.8895600000000001,1.05,5.3,4.25,100,0.013809772678381474,0.008895600000000002,0.0425
Funding,inst_trust_mean,8,8,0,1.515625,0.925,1.3613896196271553,0.555975,0.225,4.449999999999999,4.225,100,0.013613896196271553,0.00555975,0.042249999999999996
Corporate reliance,trust_multidimensional,8,8,0,2.88125,2.4,1.6212731989748939,1.8903149999999997,1.05,5.25,4.2,100,0.01621273198974894,0.018903149999999997,0.042
Corporate reliance,distrust_post,8,8,0,-2.459375,-2.075,1.3959084023879014,0.8524949999999999,-5,-0.825,4.175,100,0.013959084023879013,0.008524949999999998,0.041749999999999995
Measurement & modeling (2),trust_multidimensional,8,8,0,2.53125,1.7,1.6784213458740669,0.7042349999999997,1.1,5.25,4.15,100,0.01678421345874067,0.007042349999999998,0.0415
Measurement & modeling (1),trust_multidimensional,8,8,0,2.746875,2.45,1.459601064625928,2.0941725,0.9,5,4.1,100,0.014596010646259282,0.020941725,0.040999999999999995
Corporate reliance,trust_post,8,8,0,2.60625,2.5,1.4238874102761274,1.63086,0.95,5,4.05,100,0.014238874102761274,0.0163086,0.0405
Interview Prof. Sebille,distrust_post,8,8,0,-2.3125,-1.9000000000000001,1.3201055152632957,0.81543,-5,-1,4,100,0.013201055152632956,0.0081543,0.04
Former skeptics,distrust_post,8,8,0,-2.55,-1.875,1.493318452306808,1.03782,-5,-1.1,3.9,100,0.014933184523068079,0.010378199999999999,0.039
Funding,policy_specific_mean,8,8,0,1.3375,0.8999999999999999,1.3736681861768094,0.7042349999999998,0.09999999999999998,4,3.9,100,0.013736681861768095,0.0070423499999999984,0.039
Consensus,distrust_post,8,8,0,-2.51875,-2.0999999999999996,1.3941042951351543,1.0007549999999994,-5,-1.25,3.75,100,0.013941042951351543,0.010007549999999994,0.0375
Measurement & modeling (2),trust_post,8,8,0,2.078125,1.525,1.2433708144165427,0.5374424999999998,1.125,4.85,3.7249999999999996,100,0.012433708144165428,0.005374424999999999,0.03725
Funding,behavior_mean,8,8,0,1.325,0.775,1.3564659966250536,0.48184499999999997,0.3,4,3.7,100,0.013564659966250536,0.004818449999999999,0.037000000000000005
Extreme weather predictions,trust_post,8,8,0,2.584375,2.875,1.2381536873794903,1.2602099999999998,0.4,4.1,3.6999999999999997,100,0.012381536873794903,0.012602099999999998,0.037
High public trust,distrust_post,8,8,0,-2.9749999999999996,-2.2249999999999996,1.630950643030009,1.0748849999999994,-5.199999999999999,-1.5,3.6999999999999993,100,0.01630950643030009,0.010748849999999994,0.03699999999999999
Scientist community helpers,distrust_post,8,8,0,-2.80625,-2.525,1.2152123565157538,1.11195,-5,-1.5,3.5,100,0.012152123565157538,0.0111195,0.035
Measurement & modeling (1),trust_post,8,8,0,2.359375,2.4,1.1285212748801605,1.18608,0.8,4.2,3.4000000000000004,100,0.011285212748801605,0.0118608,0.034
Consensus,trust_post,8,8,0,3.05,2.675,1.192835756865606,1.2602099999999998,1.65,4.9,3.2500000000000004,100,0.01192835756865606,0.012602099999999998,0.0325
Model accuracy,newsletter_signup,8,8,0,0.012937500000000001,0.01,0.009911888604816226,0.006671699999999999,0.0035,0.035,0.0315,1,0.009911888604816226,0.006671699999999999,0.0315
Funding,distrust_post,8,8,0,-2.55,-2.325,1.1386081729148845,1.519665,-4,-1.25,2.75,100,0.011386081729148845,0.01519665,0.0275
Funding,newsletter_signup,8,8,0,0.0110625,0.01125,0.006377625509769066,0.009266249999999998,0.0035,0.02,0.0165,1,0.006377625509769066,0.009266249999999998,0.0165
