condition,outcome,model_id,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Oil industry misinformation,donation_ams,gemini-2.5-flash-lite,2,2,0,0.15000000000000002,0.15000000000000002,0.07071067811865477,0.07413,0.1,0.2,0.1,10,0.007071067811865476,0.007413,0.01
Oil industry misinformation,newsletter_signup,claude-opus-4-6,2,2,0,0.015,0.015,0.007071067811865475,0.0074129999999999995,0.01,0.02,0.01,1,0.007071067811865475,0.0074129999999999995,0.01
Oil industry misinformation,policy_general,gemini-2.5-flash-lite,2,2,0,1.5,1.5,0.7071067811865476,0.7413,1,2,1,100,0.007071067811865475,0.0074129999999999995,0.01
Oil industry misinformation,trust_multidimensional,gpt-5-mini,2,2,0,3,3,0.7071067811865476,0.7413,2.5,3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Oil industry misinformation,trust_post,claude-opus-4-6,2,2,0,4,4,0.7071067811865476,0.7413,3.5,4.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,behavior_mean,claude-haiku-4-5,2,2,0,3,3,0.7071067811865476,0.7413,2.5,3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,belief_post,claude-haiku-4-5,2,2,0,3.7,3.7,0.7071067811865476,0.7413,3.2,4.2,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,concern_mean,claude-haiku-4-5,2,2,0,3.3,3.3,0.7071067811865476,0.7413,2.8,3.8,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,policy_general,gpt-4o-mini,2,2,0,6.5,6.5,0.7071067811865476,0.7413,6,7,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,policy_role_mean,claude-opus-4-6,2,2,0,1,1,0.7071067811865476,0.7413,0.5,1.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,policy_role_mean,gpt-4o-mini,2,2,0,9.5,9.5,0.7071067811865476,0.7413,9,10,1,100,0.007071067811865475,0.0074129999999999995,0.01
Peer-review,policy_specific_mean,gpt-4o-mini,2,2,0,6.5,6.5,0.7071067811865476,0.7413,6,7,1,100,0.007071067811865475,0.0074129999999999995,0.01
Portrait Prof. Cherry,behavior_mean,claude-haiku-4-5,2,2,0,3,3,0.7071067811865476,0.7413,2.5,3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Portrait Prof. Cherry,donation_ams,gpt-5-mini,2,2,0,0.15000000000000002,0.15000000000000002,0.07071067811865477,0.07413,0.1,0.2,0.1,10,0.007071067811865476,0.007413,0.01
Portrait Prof. Cherry,policy_role_mean,gpt-4o-mini,2,2,0,8.5,8.5,0.7071067811865476,0.7413,8,9,1,100,0.007071067811865475,0.0074129999999999995,0.01
Portrait Prof. Cherry,trust_multidimensional,gemini-2.5-pro,2,2,0,3,3,0.7071067811865476,0.7413,2.5,3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,behavior_mean,claude-haiku-4-5,2,2,0,3.7,3.7,0.7071067811865476,0.7413,3.2,4.2,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,concern_mean,gemini-2.5-pro,2,2,0,2,2,0.7071067811865476,0.7413,1.5,2.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,distrust_post,gemini-2.5-pro,2,2,0,-4,-4,0.7071067811865476,0.7413,-4.5,-3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,policy_general,gpt-4o-mini,2,2,0,6.5,6.5,0.7071067811865476,0.7413,6,7,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,policy_role_mean,gpt-4o-mini,2,2,0,9.5,9.5,0.7071067811865476,0.7413,9,10,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,policy_role_mean,gpt-5-mini,2,2,0,3,3,0.7071067811865476,0.7413,2.5,3.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Scientist community helpers,policy_specific_mean,gpt-4o-mini,2,2,0,7.5,7.5,0.7071067811865476,0.7413,7,8,1,100,0.007071067811865475,0.0074129999999999995,0.01
Social justice,behavior_mean,claude-haiku-4-5,2,2,0,3.7,3.7,0.7071067811865476,0.7413,3.2,4.2,1,100,0.007071067811865475,0.0074129999999999995,0.01
Social justice,behavior_mean,gemini-2.5-flash-lite,2,2,0,1,1,0.7071067811865476,0.7413,0.5,1.5,1,100,0.007071067811865475,0.0074129999999999995,0.01
Consensus,donation_ams,gpt-5-mini,2,2,0,0.25,0.25,0.07071067811865474,0.07412999999999997,0.2,0.3,0.09999999999999998,10,0.007071067811865474,0.007412999999999998,0.009999999999999998
Funding,donation_ams,gemini-3.1-flash-lite,2,2,0,0.1,0.1,0.07071067811865475,0.07412999999999999,0.05,0.15,0.09999999999999999,10,0.007071067811865475,0.007412999999999999,0.009999999999999998
High public trust,distrust_post,claude-opus-4-6,2,2,0,-2.3,-2.3,0.7071067811865474,0.7412999999999998,-2.8,-1.8,0.9999999999999998,100,0.007071067811865474,0.007412999999999999,0.009999999999999998
Interview Prof. Maraun,donation_ams,claude-opus-4-6,2,2,0,0.1,0.1,0.07071067811865475,0.07412999999999999,0.05,0.15,0.09999999999999999,10,0.007071067811865475,0.007412999999999999,0.009999999999999998
Interview Prof. Maraun,funding_perceptions,gemini-2.5-pro,2,2,0,2.3,2.3,0.7071067811865474,0.7412999999999998,1.8,2.8,0.9999999999999998,100,0.007071067811865474,0.007412999999999999,0.009999999999999998
Measurement & modeling (1),donation_ams,gemini-3.1-flash-lite,2,2,0,0.1,0.1,0.07071067811865475,0.07412999999999999,0.05,0.15,0.09999999999999999,10,0.007071067811865475,0.007412999999999999,0.009999999999999998
Measurement & modeling (2),donation_ams,claude-haiku-4-5,2,2,0,0.3,0.3,0.07071067811865474,0.07412999999999997,0.25,0.35,0.09999999999999998,10,0.007071067811865474,0.007412999999999998,0.009999999999999998
Model accuracy,belief_post,gemini-3.1-pro-preview,2,2,0,2.3,2.3,0.7071067811865474,0.7412999999999998,1.8,2.8,0.9999999999999998,100,0.007071067811865474,0.007412999999999999,0.009999999999999998
Oil industry misinformation,donation_ams,gpt-5-mini,2,2,0,0.25,0.25,0.07071067811865474,0.07412999999999997,0.2,0.3,0.09999999999999998,10,0.007071067811865474,0.007412999999999998,0.009999999999999998
Oil industry misinformation,newsletter_signup,gemini-3.1-flash-lite,2,2,0,0.025,0.025,0.007071067811865474,0.007412999999999999,0.02,0.03,0.009999999999999998,1,0.007071067811865474,0.007412999999999999,0.009999999999999998
Peer-review,donation_ams,claude-haiku-4-5,2,2,0,0.3,0.3,0.07071067811865474,0.07412999999999997,0.25,0.35,0.09999999999999998,10,0.007071067811865474,0.007412999999999998,0.009999999999999998
Peer-review,donation_ams,claude-opus-4-6,2,2,0,0.1,0.1,0.07071067811865475,0.07412999999999999,0.05,0.15,0.09999999999999999,10,0.007071067811865475,0.007412999999999999,0.009999999999999998
Portrait Prof. Cherry,donation_ams,claude-opus-4-6,2,2,0,0.1,0.1,0.07071067811865475,0.07412999999999999,0.05,0.15,0.09999999999999999,10,0.007071067811865475,0.007412999999999999,0.009999999999999998
Portrait Prof. Cherry,newsletter_signup,gemini-3.1-flash-lite,2,2,0,0.01,0.01,0.007071067811865475,0.007412999999999999,0.005,0.015,0.009999999999999998,1,0.007071067811865475,0.007412999999999999,0.009999999999999998
Scientist community helpers,policy_role_mean,gemini-3.1-pro-preview,2,2,0,2.3,2.3,0.7071067811865474,0.7412999999999998,1.8,2.8,0.9999999999999998,100,0.007071067811865474,0.007412999999999999,0.009999999999999998
Model accuracy,policy_general,claude-haiku-4-5,2,2,0,3.5999999999999996,3.5999999999999996,0.7071067811865472,0.7412999999999996,3.1,4.1,0.9999999999999996,100,0.007071067811865473,0.007412999999999996,0.009999999999999995
Portrait Prof. Cherry,concern_mean,claude-opus-4-6,2,2,0,0.825,0.825,0.6717514421272202,0.70423500000000006,0.35,1.3,0.9500000000000001,100,0.006717514421272202,0.00704235,0.0095000000000000015
Peer-review,belief_post,claude-opus-4-6,2,2,0,1.025,1.025,0.6717514421272202,0.7042349999999999,0.55,1.5,0.95,100,0.006717514421272202,0.007042349999999999,0.0095
Funding,distrust_post,gemini-3.1-flash-lite,2,2,0,-1.65,-1.65,0.6363961030678928,0.66717,-2.1,-1.2,0.9000000000000001,100,0.006363961030678929,0.0066717,0.009000000000000001
Interview Prof. Maraun,concern_mean,claude-opus-4-6,2,2,0,0.8500000000000001,0.8500000000000001,0.6363961030678927,0.6671699999999999,0.4,1.3,0.9,100,0.006363961030678928,0.006671699999999999,0.009000000000000001
Interview Prof. Sebille,behavior_mean,claude-opus-4-6,2,2,0,1.65,1.65,0.6363961030678928,0.66717,1.2,2.1,0.9000000000000001,100,0.006363961030678929,0.0066717,0.009000000000000001
Model accuracy,inst_trust_mean,gpt-5-mini,2,2,0,1.35,1.35,0.6363961030678927,0.6671699999999999,0.9,1.8,0.9,100,0.006363961030678928,0.006671699999999999,0.009000000000000001
Model accuracy,trust_post,gpt-5-mini,2,2,0,1.75,1.75,0.6363961030678928,0.66717,1.3,2.2,0.9000000000000001,100,0.006363961030678929,0.0066717,0.009000000000000001
Oil industry misinformation,policy_specific_mean,gemini-3.1-flash-lite,2,2,0,2.15,2.15,0.6363961030678928,0.66717,1.7,2.6,0.9000000000000001,100,0.006363961030678929,0.0066717,0.009000000000000001
Portrait Prof. Cherry,inst_trust_mean,claude-opus-4-6,2,2,0,0.8500000000000001,0.8500000000000001,0.6363961030678927,0.6671699999999999,0.4,1.3,0.9,100,0.006363961030678928,0.006671699999999999,0.009000000000000001
Social justice,policy_role_mean,gemini-3.1-pro-preview,2,2,0,1.05,1.05,0.6363961030678927,0.6671699999999999,0.6,1.5,0.9,100,0.006363961030678928,0.006671699999999999,0.009000000000000001
Extreme weather predictions,funding_perceptions,gemini-3.1-pro-preview,2,2,0,2.3499999999999996,2.3499999999999996,0.6363961030678927,0.6671699999999999,1.9,2.8,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Former skeptics,funding_perceptions,gemini-2.5-pro,2,2,0,2.05,2.05,0.6363961030678927,0.6671699999999999,1.6,2.5,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
High public trust,trust_post,gemini-3.1-flash-lite,2,2,0,2.05,2.05,0.6363961030678927,0.6671699999999999,1.6,2.5,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Interview Prof. Sebille,belief_post,gemini-2.5-flash-lite,2,2,0,0.75,0.75,0.6363961030678927,0.6671699999999999,0.3,1.2,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Interview Prof. Sebille,concern_mean,claude-opus-4-6,2,2,0,1.8499999999999999,1.8499999999999999,0.6363961030678927,0.6671699999999999,1.4,2.3,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Peer-review,belief_post,gemini-2.5-flash-lite,2,2,0,0.75,0.75,0.6363961030678927,0.6671699999999999,0.3,1.2,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Peer-review,inst_trust_mean,claude-opus-4-6,2,2,0,0.75,0.75,0.6363961030678927,0.6671699999999999,0.3,1.2,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Portrait Prof. Cherry,policy_general,claude-opus-4-6,2,2,0,0.75,0.75,0.6363961030678927,0.6671699999999999,0.3,1.2,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Portrait Prof. Cherry,trust_multidimensional,gpt-5-mini,2,2,0,2.05,2.05,0.6363961030678927,0.6671699999999999,1.6,2.5,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Scientist community helpers,trust_post,gemini-2.5-pro,2,2,0,4.05,4.05,0.6363961030678927,0.6671699999999999,3.6,4.5,0.8999999999999999,100,0.006363961030678928,0.006671699999999999,0.009
Consensus,trust_multidimensional,claude-haiku-4-5,2,2,0,4.65,4.65,0.6363961030678924,0.6671699999999996,4.2,5.1,0.8999999999999995,100,0.006363961030678924,0.006671699999999996,0.008999999999999994
Peer-review,trust_post,claude-haiku-4-5,2,2,0,5.35,5.35,0.6363961030678924,0.6671699999999996,4.9,5.8,0.8999999999999995,100,0.006363961030678924,0.006671699999999996,0.008999999999999994
Portrait Prof. Cherry,behavior_mean,claude-opus-4-6,2,2,0,0.7749999999999999,0.7749999999999999,0.6010407640085653,0.6301049999999999,0.35,1.2,0.85,100,0.0060104076400856535,0.006301049999999999,0.0085
Corporate reliance,inst_trust_mean,claude-haiku-4-5,2,2,0,3.8,3.8,0.5656854249492382,0.5930400000000001,3.4,4.2,0.8000000000000003,100,0.005656854249492383,0.0059304000000000015,0.008000000000000002
Funding,donation_ams,gemini-2.5-pro,2,2,0,0.16,0.16,0.05656854249492382,0.05930400000000001,0.12,0.2,0.08000000000000002,10,0.005656854249492382,0.005930400000000001,0.008000000000000002
Funding,policy_role_mean,claude-haiku-4-5,2,2,0,3.3,3.3,0.5656854249492382,0.5930400000000001,2.9,3.7,0.8000000000000003,100,0.005656854249492383,0.0059304000000000015,0.008000000000000002
Model accuracy,policy_role_mean,claude-haiku-4-5,2,2,0,2.8,2.8,0.5656854249492382,0.5930400000000001,2.4,3.2,0.8000000000000003,100,0.005656854249492383,0.0059304000000000015,0.008000000000000002
Model accuracy,trust_post,claude-opus-4-6,2,2,0,1.8,1.8,0.5656854249492382,0.5930400000000001,1.4,2.2,0.8000000000000003,100,0.005656854249492383,0.0059304000000000015,0.008000000000000002
Scientist community helpers,policy_role_mean,gemini-3.1-flash-lite,2,2,0,1.8,1.8,0.5656854249492382,0.5930400000000001,1.4,2.2,0.8000000000000003,100,0.005656854249492383,0.0059304000000000015,0.008000000000000002
Corporate reliance,policy_role_mean,gemini-2.5-flash-lite,2,2,0,1.4,1.4,0.5656854249492381,0.59304,1,1.8,0.8,100,0.005656854249492381,0.0059304,0.008
Extreme weather predictions,trust_multidimensional,gemini-3.1-flash-lite,2,2,0,1.7000000000000002,1.7000000000000002,0.5656854249492381,0.59304,1.3,2.1,0.8,100,0.005656854249492381,0.0059304,0.008
Former skeptics,inst_trust_mean,gemini-2.5-pro,2,2,0,1.6,1.6,0.5656854249492381,0.59304,1.2,2,0.8,100,0.005656854249492381,0.0059304,0.008
Former skeptics,trust_post,claude-opus-4-6,2,2,0,2.1,2.1,0.5656854249492381,0.59304,1.7,2.5,0.8,100,0.005656854249492381,0.0059304,0.008
Funding,concern_mean,gemini-2.5-pro,2,2,0,1.4,1.4,0.5656854249492381,0.59304,1,1.8,0.8,100,0.005656854249492381,0.0059304,0.008
Funding,trust_multidimensional,gemini-3.1-pro-preview,2,2,0,2.2,2.2,0.5656854249492381,0.59304,1.8,2.6,0.8,100,0.005656854249492381,0.0059304,0.008
Interview Prof. Maraun,behavior_mean,claude-opus-4-6,2,2,0,0.8,0.8,0.565685424949238,0.5930399999999999,0.4,1.2,0.7999999999999999,100,0.00565685424949238,0.005930399999999999,0.008
Interview Prof. Sebille,belief_post,gemini-2.5-pro,2,2,0,1.6,1.6,0.5656854249492381,0.59304,1.2,2,0.8,100,0.005656854249492381,0.0059304,0.008
Measurement & modeling (1),funding_perceptions,gemini-3.1-pro-preview,2,2,0,1.6,1.6,0.5656854249492381,0.59304,1.2,2,0.8,100,0.005656854249492381,0.0059304,0.008
Measurement & modeling (1),inst_trust_mean,claude-opus-4-6,2,2,0,1.1,1.1,0.5656854249492381,0.59304,0.7,1.5,0.8,100,0.005656854249492381,0.0059304,0.008
Measurement & modeling (2),distrust_post,gemini-2.5-flash-lite,2,2,0,-1.1,-1.1,0.5656854249492381,0.59304,-1.5,-0.7,0.8,100,0.005656854249492381,0.0059304,0.008
Measurement & modeling (2),trust_multidimensional,gemini-2.5-flash-lite,2,2,0,1.4,1.4,0.5656854249492381,0.59304,1,1.8,0.8,100,0.005656854249492381,0.0059304,0.008
Model accuracy,policy_role_mean,gpt-5-mini,2,2,0,1.4,1.4,0.5656854249492381,0.59304,1,1.8,0.8,100,0.005656854249492381,0.0059304,0.008
Portrait Prof. Cherry,distrust_post,gpt-5-mini,2,2,0,-1.6,-1.6,0.5656854249492381,0.59304,-2,-1.2,0.8,100,0.005656854249492381,0.0059304,0.008
Social justice,inst_trust_mean,gemini-2.5-flash-lite,2,2,0,0.6,0.6,0.565685424949238,0.59304,0.2,1,0.8,100,0.00565685424949238,0.0059304,0.008
Social justice,inst_trust_mean,gemini-2.5-pro,2,2,0,1.4,1.4,0.5656854249492381,0.59304,1,1.8,0.8,100,0.005656854249492381,0.0059304,0.008
Social justice,newsletter_signup,gemini-3.1-pro-preview,2,2,0,0.006,0.006,0.00565685424949238,0.0059304,0.002,0.01,0.008,1,0.00565685424949238,0.0059304,0.008
Social justice,policy_role_mean,gpt-5-mini,2,2,0,1.6,1.6,0.5656854249492381,0.59304,1.2,2,0.8,100,0.005656854249492381,0.0059304,0.008
Social justice,trust_multidimensional,gpt-5-mini,2,2,0,1.2000000000000002,1.2000000000000002,0.5656854249492381,0.59304,0.8,1.6,0.8,100,0.005656854249492381,0.0059304,0.008
Consensus,belief_post,gemini-3.1-pro-preview,2,2,0,4.6,4.6,0.5656854249492379,0.5930399999999998,4.2,5,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Consensus,distrust_post,gemini-3.1-pro-preview,2,2,0,-2.6,-2.6,0.5656854249492379,0.5930399999999998,-3,-2.2,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Consensus,trust_post,claude-haiku-4-5,2,2,0,4.9,4.9,0.5656854249492379,0.5930399999999998,4.5,5.3,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Former skeptics,policy_general,gemini-2.5-pro,2,2,0,2.4,2.4,0.5656854249492379,0.5930399999999998,2,2.8,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Oil industry misinformation,policy_role_mean,gemini-3.1-pro-preview,2,2,0,3,3,0.5656854249492379,0.5930399999999998,2.6,3.4,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Oil industry misinformation,policy_role_mean,gpt-5-mini,2,2,0,2.6,2.6,0.5656854249492379,0.5930399999999998,2.2,3,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Oil industry misinformation,trust_post,gpt-5-mini,2,2,0,2.6,2.6,0.5656854249492379,0.5930399999999998,2.2,3,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Portrait Prof. Cherry,distrust_post,claude-haiku-4-5,2,2,0,-1.9,-1.9,0.5656854249492379,0.5930399999999998,-2.3,-1.5,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Portrait Prof. Cherry,policy_role_mean,gemini-2.5-pro,2,2,0,3.4,3.4,0.5656854249492379,0.5930399999999998,3,3.8,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Portrait Prof. Cherry,policy_specific_mean,claude-haiku-4-5,2,2,0,2.5,2.5,0.5656854249492379,0.5930399999999998,2.1,2.9,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Social justice,policy_general,gemini-2.5-pro,2,2,0,3.6,3.6,0.5656854249492379,0.5930399999999998,3.2,4,0.7999999999999998,100,0.005656854249492379,0.005930399999999998,0.007999999999999998
Extreme weather predictions,trust_post,gemini-3.1-flash-lite,2,2,0,1.625,1.625,0.5303300858899106,0.555975,1.25,2,0.75,100,0.005303300858899106,0.00555975,0.0075
Extreme weather predictions,newsletter_signup,claude-haiku-4-5,2,2,0,0.0215,0.0215,0.004949747468305834,0.005189100000000002,0.018,0.025,0.007000000000000003,1,0.004949747468305834,0.005189100000000002,0.007000000000000003
Corporate reliance,behavior_mean,claude-haiku-4-5,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Corporate reliance,concern_mean,claude-haiku-4-5,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Extreme weather predictions,distrust_post,gemini-3.1-pro-preview,2,2,0,-2.85,-2.85,0.4949747468305834,0.5189100000000001,-3.2,-2.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Extreme weather predictions,funding_perceptions,gemini-3.1-flash-lite,2,2,0,1.85,1.85,0.4949747468305834,0.5189100000000001,1.5,2.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Extreme weather predictions,trust_multidimensional,gemini-3.1-pro-preview,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Former skeptics,policy_specific_mean,gemini-2.5-pro,2,2,0,1.85,1.85,0.4949747468305834,0.5189100000000001,1.5,2.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Funding,behavior_mean,claude-haiku-4-5,2,2,0,2.85,2.85,0.4949747468305834,0.5189100000000001,2.5,3.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
High public trust,policy_general,claude-haiku-4-5,2,2,0,4.15,4.15,0.4949747468305834,0.5189100000000001,3.8,4.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
High public trust,trust_multidimensional,gemini-3.1-flash-lite,2,2,0,1.75,1.75,0.4949747468305834,0.5189100000000001,1.4,2.1,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Measurement & modeling (1),policy_role_mean,gemini-2.5-pro,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Measurement & modeling (1),policy_role_mean,gemini-3.1-pro-preview,2,2,0,1.85,1.85,0.4949747468305834,0.5189100000000001,1.5,2.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Measurement & modeling (2),inst_trust_mean,claude-haiku-4-5,2,2,0,3.85,3.85,0.4949747468305834,0.5189100000000001,3.5,4.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Model accuracy,concern_mean,claude-haiku-4-5,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Oil industry misinformation,belief_post,gemini-3.1-flash-lite,2,2,0,2.85,2.85,0.4949747468305834,0.5189100000000001,2.5,3.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Peer-review,funding_perceptions,claude-haiku-4-5,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Peer-review,policy_specific_mean,claude-haiku-4-5,2,2,0,3.25,3.25,0.4949747468305834,0.5189100000000001,2.9,3.6,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Peer-review,trust_multidimensional,claude-haiku-4-5,2,2,0,5.85,5.85,0.4949747468305834,0.5189100000000001,5.5,6.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Portrait Prof. Cherry,inst_trust_mean,claude-haiku-4-5,2,2,0,3.85,3.85,0.4949747468305834,0.5189100000000001,3.5,4.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Portrait Prof. Cherry,policy_role_mean,gpt-5-mini,2,2,0,1.75,1.75,0.4949747468305834,0.5189100000000001,1.4,2.1,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Scientist community helpers,concern_mean,claude-haiku-4-5,2,2,0,3.15,3.15,0.4949747468305834,0.5189100000000001,2.8,3.5,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Social justice,distrust_post,gemini-2.5-pro,2,2,0,-3.35,-3.35,0.4949747468305834,0.5189100000000001,-3.7,-3,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Social justice,trust_multidimensional,gemini-2.5-pro,2,2,0,3.85,3.85,0.4949747468305834,0.5189100000000001,3.5,4.2,0.7000000000000002,100,0.004949747468305834,0.005189100000000001,0.007000000000000002
Funding,policy_role_mean,gemini-3.1-flash-lite,2,2,0,0.75,0.75,0.49497474683058335,0.51891,0.4,1.1,0.7000000000000001,100,0.004949747468305833,0.0051890999999999994,0.007000000000000001
Funding,policy_role_mean,gemini-3.1-pro-preview,2,2,0,-1.25,-1.25,0.49497474683058335,0.51891,-1.6,-0.9,0.7000000000000001,100,0.004949747468305833,0.0051890999999999994,0.007000000000000001
Funding,policy_specific_mean,gemini-3.1-flash-lite,2,2,0,0.95,0.95,0.49497474683058335,0.51891,0.6,1.3,0.7000000000000001,100,0.004949747468305833,0.0051890999999999994,0.007000000000000001
Measurement & modeling (1),donation_ams,claude-haiku-4-5,2,2,0,0.215,0.215,0.04949747468305833,0.051891,0.18,0.25,0.07,10,0.004949747468305833,0.0051891,0.007000000000000001
Social justice,policy_general,gpt-5-mini,2,2,0,1.25,1.25,0.49497474683058335,0.51891,0.9,1.6,0.7000000000000001,100,0.004949747468305833,0.0051890999999999994,0.007000000000000001
Measurement & modeling (1),newsletter_signup,gemini-3.1-pro-preview,2,2,0,0.0085,0.0085,0.004949747468305833,0.0051890999999999994,0.005,0.012,0.007,1,0.004949747468305833,0.0051890999999999994,0.007
Consensus,behavior_mean,gpt-5-mini,2,2,0,1.15,1.15,0.49497474683058323,0.51891,0.8,1.5,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Corporate reliance,belief_post,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.4949747468305833,0.51891,0.3,1,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Extreme weather predictions,inst_trust_mean,gemini-3.1-flash-lite,2,2,0,1.4500000000000002,1.4500000000000002,0.49497474683058323,0.51891,1.1,1.8,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Former skeptics,behavior_mean,gemini-2.5-pro,2,2,0,1.15,1.15,0.49497474683058323,0.51891,0.8,1.5,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Former skeptics,inst_trust_mean,gemini-3.1-pro-preview,2,2,0,1.0499999999999998,1.0499999999999998,0.49497474683058323,0.51891,0.7,1.4,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Funding,policy_general,gpt-5-mini,2,2,0,0.65,0.65,0.4949747468305833,0.51891,0.3,1,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
High public trust,belief_post,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.4949747468305833,0.51891,0.3,1,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
High public trust,donation_ams,gemini-3.1-flash-lite,2,2,0,0.11499999999999999,0.11499999999999999,0.049497474683058325,0.05189099999999999,0.08,0.15,0.06999999999999999,10,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
High public trust,policy_role_mean,claude-opus-4-6,2,2,0,1.4500000000000002,1.4500000000000002,0.49497474683058323,0.51891,1.1,1.8,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Interview Prof. Maraun,funding_perceptions,claude-opus-4-6,2,2,0,0.65,0.65,0.4949747468305833,0.51891,0.3,1,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
Interview Prof. Maraun,inst_trust_mean,claude-opus-4-6,2,2,0,0.65,0.65,0.4949747468305833,0.51891,0.3,1,0.7,100,0.0049497474683058325,0.0051890999999999994,0.006999999999999999
